Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
235,Verona,Sacramento Valley,4/20/2025,110,5.05, ,0.00, ,316,R,1.1, ,26.1, ,6.8, ,16.2, ,94, ,31, ,62, ,8.9, ,1.8, ,159.5, ,18.2, 
235,Verona,Sacramento Valley,4/21/2025,111,5.38, ,0.00, ,314,R,1.1, ,29.3, ,5.5, ,17.7, ,94, ,27, ,55, ,8.6, ,1.4, ,123.8, ,18.9, 
235,Verona,Sacramento Valley,4/22/2025,112,5.47, ,0.00, ,314, ,1.2, ,27.8, ,7.2, ,17.7, ,94, ,33, ,61, ,10.2, ,2.2, ,188.0, ,19.5, 
235,Verona,Sacramento Valley,4/23/2025,113,4.95, ,0.00, ,316, ,1.1, ,21.9, ,8.7, ,14.1, ,87, ,48, ,68, ,8.3, ,3.2, ,275.4, ,19.1, 
235,Verona,Sacramento Valley,4/24/2025,114,4.45, ,0.00, ,275, ,1.1, ,18.7, ,8.2, ,12.7, ,90, ,55, ,72, ,7.8, ,3.4, ,296.1, ,18.2, 
235,Verona,Sacramento Valley,4/25/2025,115,3.68, ,0.00, ,224, ,0.9, ,17.1,Y,8.0, ,12.4, ,87, ,45, ,65, ,6.0, ,3.1, ,268.2, ,17.3, 
235,Verona,Sacramento Valley,4/26/2025,116,1.49, ,0.20, ,120, ,1.1, ,16.4,Y,9.0, ,11.4, ,91, ,57, ,78, ,7.7, ,1.3, ,108.9, ,16.8, 
235,Verona,Sacramento Valley,4/27/2025,117,0.99, ,1.30, ,96, ,1.2, ,15.7,Y,8.6, ,11.7, ,94, ,72, ,85, ,9.3, ,1.5, ,133.7, ,16.3, 
235,Verona,Sacramento Valley,4/28/2025,118,5.00, ,0.10, ,313, ,1.2, ,25.7, ,5.6, ,15.5, ,97, ,38, ,68, ,9.6, ,1.5, ,128.9, ,16.9, 
235,Verona,Sacramento Valley,4/29/2025,119,5.37, ,0.00, ,315, ,1.3, ,27.9, ,6.0, ,18.0, ,95, ,38, ,61, ,10.4, ,1.6, ,135.0, ,18.2, 
235,Verona,Sacramento Valley,4/30/2025,120,5.86, ,0.00, ,322, ,1.3, ,30.8, ,9.5, ,19.8, ,93, ,24, ,56, ,10.7, ,1.8, ,159.5, ,19.2, 
235,Verona,Sacramento Valley,5/1/2025,121,5.65, ,0.00, ,327, ,1.3, ,29.3, ,7.5, ,18.6, ,92, ,36, ,63, ,11.4, ,2.1, ,178.8, ,19.4, 
235,Verona,Sacramento Valley,5/2/2025,122,5.62, ,0.00, ,325, ,1.2, ,25.1, ,9.4, ,16.3, ,88, ,45, ,66, ,10.0, ,3.8, ,328.5, ,19.1, 
235,Verona,Sacramento Valley,5/3/2025,123,5.00, ,0.00, ,291, ,1.2, ,24.0, ,8.6, ,16.1, ,85, ,47, ,66, ,9.8, ,2.7, ,237.3, ,18.8, 
235,Verona,Sacramento Valley,5/4/2025,124,7.47, ,0.00, ,322, ,0.9, ,26.2, ,7.9, ,18.1, ,92, ,26, ,44, ,5.6, ,4.2, ,362.3, ,18.5, 
235,Verona,Sacramento Valley,5/5/2025,125,9.19, ,0.00, ,339,R,0.7, ,29.1, ,11.1, ,21.1, ,63, ,20, ,28, ,1.9, ,5.3,Y,457.1,Y,18.5, 
235,Verona,Sacramento Valley,5/6/2025,126,7.38, ,0.00, ,345,R,0.9, ,30.2, ,11.0, ,20.7, ,69, ,21, ,38, ,5.8, ,3.3, ,281.8, ,18.6, 
235,Verona,Sacramento Valley,5/7/2025,127,5.86, ,0.00, ,334, ,1.2, ,23.8, ,10.5, ,17.0, ,84, ,45, ,64, ,10.1, ,3.3, ,282.5, ,18.7, 
235,Verona,Sacramento Valley,5/8/2025,128,5.41, ,0.00, ,335, ,1.4, ,31.1, ,6.9, ,18.9, ,95, ,33, ,63, ,11.7, ,1.1, ,92.0, ,18.9, 
235,Verona,Sacramento Valley,5/9/2025,129,5.85, ,0.00, ,341,R,1.4, ,34.5, ,9.6, ,21.6, ,91, ,27, ,55, ,12.2, ,1.0, ,84.2, ,19.5, 
235,Verona,Sacramento Valley,5/10/2025,130,6.25, ,0.00, ,339, ,1.2, ,33.5, ,10.1, ,22.0, ,83, ,24, ,46, ,9.9, ,1.5, ,129.4, ,19.8, 
235,Verona,Sacramento Valley,5/11/2025,131,6.96, ,0.00, ,337, ,1.0, ,25.2, ,12.3, ,18.1, ,65, ,27, ,46, ,6.3, ,3.8, ,325.7, ,19.4, 
235,Verona,Sacramento Valley,5/12/2025,132,4.66, ,1.90, ,250, ,1.1, ,20.3, ,11.1, ,14.3, ,91, ,39, ,65, ,7.8, ,3.9, ,335.8, ,18.2, 
235,Verona,Sacramento Valley,5/13/2025,133,5.51, ,0.60, ,336, ,1.1, ,24.0, ,9.4, ,16.1, ,95, ,29, ,58, ,7.8, ,2.0, ,172.2, ,18.0, 
235,Verona,Sacramento Valley,5/14/2025,134,5.62, ,0.00, ,329, ,1.0, ,27.7, ,6.2, ,17.5, ,94, ,23, ,52, ,7.6, ,1.4, ,122.6, ,18.2, 
235,Verona,Sacramento Valley,5/15/2025,135,6.06, ,0.00, ,339, ,1.2, ,29.5, ,7.8, ,19.6, ,94, ,28, ,52, ,9.4, ,1.7, ,149.1, ,18.5, 
235,Verona,Sacramento Valley,5/16/2025,136,6.10, ,0.00, ,333, ,1.3, ,30.9, ,9.5, ,20.9, ,88, ,28, ,51, ,10.3, ,2.0, ,170.6, ,19.3, 
