Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
226,Woodland,Sacramento Valley,4/20/2025,110,5.14, ,0.00, ,306, ,1.1, ,27.5, ,7.3, ,16.8, ,86, ,28, ,57, ,8.2, ,1.5, ,133.6, ,,S
226,Woodland,Sacramento Valley,4/21/2025,111,5.39, ,0.00, ,303, ,1.1, ,29.7, ,8.9, ,19.0, ,85, ,21, ,50, ,8.3, ,1.5, ,132.2, ,,S
226,Woodland,Sacramento Valley,4/22/2025,112,5.71, ,0.00, ,301, ,1.1, ,28.4, ,9.4, ,18.7, ,81, ,27, ,53, ,9.0, ,2.1, ,184.3, ,,S
226,Woodland,Sacramento Valley,4/23/2025,113,5.09, ,0.00, ,303, ,1.1, ,24.1, ,8.6, ,15.1, ,79, ,40, ,62, ,7.8, ,2.5, ,219.3, ,,S
226,Woodland,Sacramento Valley,4/24/2025,114,4.18, ,0.00, ,255, ,1.1, ,20.4, ,7.0, ,13.2, ,85, ,51, ,70, ,7.9, ,2.4, ,207.2, ,,S
226,Woodland,Sacramento Valley,4/25/2025,115,3.89, ,0.00, ,226, ,1.0, ,18.0, ,8.4, ,12.9, ,84, ,45, ,64, ,6.2, ,2.5, ,219.7, ,,S
226,Woodland,Sacramento Valley,4/26/2025,116,1.48, ,0.00, ,109, ,1.0, ,15.9,Y,9.2, ,12.2, ,78, ,58, ,70, ,6.9, ,1.3, ,110.2, ,,S
226,Woodland,Sacramento Valley,4/27/2025,117,1.57, ,1.10, ,122, ,1.2, ,16.7,Y,9.7, ,12.8, ,90, ,66, ,80, ,9.4, ,1.8, ,154.6, ,,S
226,Woodland,Sacramento Valley,4/28/2025,118,5.28, ,0.00, ,307, ,1.1, ,26.3, ,8.3, ,16.9, ,89, ,25, ,58, ,8.7, ,1.7, ,148.8, ,,S
226,Woodland,Sacramento Valley,4/29/2025,119,5.20, ,0.00, ,289, ,1.2, ,29.8, ,8.0, ,18.9, ,84, ,29, ,56, ,9.9, ,1.2, ,101.3, ,,S
226,Woodland,Sacramento Valley,4/30/2025,120,4.59,H,0.00,R,275,H,1.2,H,31.0, ,15.4, ,24.7,H,82,H,22,H,39, ,9.7, ,1.8,H,156.2,H,21.3,H
226,Woodland,Sacramento Valley,5/1/2025,121,5.70, ,0.00, ,309, ,1.3, ,30.8, ,10.1, ,19.8, ,83, ,27, ,56, ,10.9, ,1.8, ,154.7, ,20.3, 
