Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
235,Verona,Sacramento Valley,4/2/2025,0100,092,0.00,Y,0.00, ,1, ,0.7, ,3.2,Y,92,Y,1.9,Y,1.1, ,281, ,13.2, 
235,Verona,Sacramento Valley,4/2/2025,0200,092,0.00,Y,0.00, ,0, ,0.7, ,2.4,Y,94,Y,1.5,Y,0.6, ,84, ,12.9, 
235,Verona,Sacramento Valley,4/2/2025,0300,092,0.00,Y,0.00, ,0, ,0.6, ,1.3,Y,94,Y,0.5,Y,0.7, ,310, ,12.7, 
235,Verona,Sacramento Valley,4/2/2025,0400,092,0.00,Y,0.00, ,0, ,0.6, ,1.5,Y,95,Y,0.7,Y,0.7, ,307, ,12.4, 
235,Verona,Sacramento Valley,4/2/2025,0500,092,0.00,Y,0.00, ,0, ,0.6, ,0.7,Y,95,Y,0.0,Y,0.7, ,278, ,12.1, 
235,Verona,Sacramento Valley,4/2/2025,0600,092,0.00, ,0.00, ,2, ,0.6, ,1.3, ,95, ,0.6, ,0.6, ,197, ,11.9, 
235,Verona,Sacramento Valley,4/2/2025,0700,092,0.01, ,0.00, ,92, ,0.7, ,2.5, ,96, ,1.9, ,0.5, ,15, ,11.6, 
235,Verona,Sacramento Valley,4/2/2025,0800,092,0.10, ,0.00, ,290, ,0.9, ,6.3, ,92, ,5.1, ,1.1, ,21, ,11.4, 
235,Verona,Sacramento Valley,4/2/2025,0900,092,0.22, ,0.00, ,493, ,0.9, ,9.6, ,74, ,5.2, ,1.1, ,335, ,11.3, 
235,Verona,Sacramento Valley,4/2/2025,1000,092,0.34, ,0.00, ,676, ,0.9, ,11.7, ,66, ,5.6, ,2.0, ,339, ,11.4, 
235,Verona,Sacramento Valley,4/2/2025,1100,092,0.46, ,0.00, ,806, ,0.9, ,13.6, ,60, ,5.9, ,3.1, ,349, ,11.7, 
235,Verona,Sacramento Valley,4/2/2025,1200,092,0.53, ,0.00, ,878, ,0.9, ,14.8, ,56, ,6.2, ,3.6, ,351, ,12.3, 
235,Verona,Sacramento Valley,4/2/2025,1300,092,0.56, ,0.00, ,894, ,0.9, ,16.3, ,48, ,5.4, ,3.1, ,337, ,13.0, 
235,Verona,Sacramento Valley,4/2/2025,1400,092,0.53, ,0.00, ,829, ,0.8, ,17.4, ,42, ,4.5, ,3.1, ,330, ,13.6, 
235,Verona,Sacramento Valley,4/2/2025,1500,092,0.49, ,0.00, ,746, ,0.8, ,17.8, ,40, ,3.9, ,3.2, ,323, ,14.1, 
235,Verona,Sacramento Valley,4/2/2025,1600,092,0.37, ,0.00, ,581, ,0.8, ,17.8, ,38, ,3.4, ,3.3, ,309, ,14.4, 
235,Verona,Sacramento Valley,4/2/2025,1700,092,0.25, ,0.00, ,383, ,0.8, ,17.3, ,39, ,3.4, ,2.9, ,339, ,14.8, 
