Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Vap Pres (kPa),qc,Air Temp (C),qc,Rel Hum (%),qc,Dew Point (C),qc,Wind Speed (m/s),qc,Wind Dir (0-360),qc,Soil Temp (C),qc
226,Woodland,Sacramento Valley,4/2/2025,0100,092,0.00, ,0.00, ,0, ,0.7, ,7.5, ,70, ,2.4, ,1.2, ,313, ,,M
226,Woodland,Sacramento Valley,4/2/2025,0200,092,0.00, ,0.00, ,0, ,0.7, ,6.8, ,73, ,2.3, ,0.8, ,330, ,,M
226,Woodland,Sacramento Valley,4/2/2025,0300,092,0.00, ,0.00, ,0, ,0.7, ,5.0, ,76, ,1.1, ,0.8, ,336, ,,S
226,Woodland,Sacramento Valley,4/2/2025,0400,092,0.00, ,0.00, ,0, ,0.7, ,5.0, ,78, ,1.6, ,0.9, ,299, ,,S
226,Woodland,Sacramento Valley,4/2/2025,0500,092,0.00, ,0.00, ,0, ,0.7, ,3.9, ,81, ,1.0, ,0.8, ,272, ,,S
226,Woodland,Sacramento Valley,4/2/2025,0600,092,0.00, ,0.00, ,2, ,0.7, ,3.5, ,83, ,0.9, ,0.7, ,310, ,,S
226,Woodland,Sacramento Valley,4/2/2025,0700,092,0.02, ,0.00, ,90, ,0.8, ,5.5, ,85, ,3.1, ,1.0, ,1, ,,M
226,Woodland,Sacramento Valley,4/2/2025,0800,092,0.11, ,0.00, ,256, ,0.9, ,8.6, ,85, ,6.2, ,1.8, ,342, ,,M
226,Woodland,Sacramento Valley,4/2/2025,0900,092,0.21, ,0.00, ,443, ,1.1, ,10.6, ,83, ,7.9, ,2.5, ,342, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1000,092,0.34, ,0.00, ,611, ,1.2, ,13.1, ,77, ,9.2, ,3.3, ,344, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1100,092,0.45, ,0.00, ,742, ,1.1, ,14.4, ,66, ,8.1, ,3.6, ,332, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1200,092,0.53, ,0.00, ,822, ,1.0, ,15.4, ,55, ,6.5, ,3.8, ,343, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1300,092,0.55, ,0.00, ,840, ,0.9, ,16.5, ,47, ,5.0, ,3.2, ,346, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1400,092,0.53, ,0.00, ,794, ,0.8, ,17.5, ,40, ,3.7, ,2.9, ,350, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1500,092,0.46, ,0.00, ,684, ,0.8, ,18.0, ,37, ,2.9, ,2.6, ,354, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1600,092,0.36, ,0.00, ,525, ,0.7, ,18.3, ,35, ,2.7, ,2.5, ,342, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1700,092,0.23, ,0.00, ,338, ,0.7, ,18.0, ,34, ,1.8, ,2.2, ,351, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1800,092,0.12, ,0.00, ,145, ,0.6, ,17.3, ,32, ,0.3, ,1.8, ,313, ,,M
226,Woodland,Sacramento Valley,4/2/2025,1900,092,0.04, ,0.00, ,10, ,0.5, ,15.2, ,32, ,-1.6, ,0.8, ,281, ,,M
226,Woodland,Sacramento Valley,4/2/2025,2000,092,0.02, ,0.00, ,0, ,0.6, ,11.6, ,41, ,-1.1, ,0.8, ,207, ,,M
226,Woodland,Sacramento Valley,4/2/2025,2100,092,0.01, ,0.00, ,0, ,0.7, ,10.2, ,52, ,0.9, ,0.8, ,229, ,,M
226,Woodland,Sacramento Valley,4/2/2025,2200,092,0.00, ,0.00, ,0, ,0.7, ,9.2, ,59, ,1.7, ,0.8, ,234, ,,M
226,Woodland,Sacramento Valley,4/2/2025,2300,092,0.00, ,0.00, ,0, ,0.6, ,7.1, ,63, ,0.6, ,0.9, ,181, ,,M
226,Woodland,Sacramento Valley,4/2/2025,2400,092,0.00, ,0.00, ,0, ,0.6, ,6.1, ,68, ,0.6, ,0.7, ,180, ,,S
226,Woodland,Sacramento Valley,4/3/2025,0100,093,0.00, ,0.00, ,0, ,0.7, ,5.5, ,72, ,1.0, ,0.7, ,123, ,,M
226,Woodland,Sacramento Valley,4/3/2025,0200,093,0.00, ,0.00, ,0, ,0.7, ,6.2, ,76, ,2.3, ,0.8, ,213, ,,M
226,Woodland,Sacramento Valley,4/3/2025,0300,093,0.00, ,0.00, ,0, ,0.7, ,5.6, ,79, ,2.2, ,1.0, ,281, ,,S
226,Woodland,Sacramento Valley,4/3/2025,0400,093,0.00, ,0.00, ,0, ,0.7, ,5.4, ,81, ,2.4, ,1.5, ,306, ,,M
226,Woodland,Sacramento Valley,4/3/2025,0500,093,0.00, ,0.00, ,0, ,0.7, ,4.0, ,83, ,1.4, ,0.6, ,359, ,,S
226,Woodland,Sacramento Valley,4/3/2025,0600,093,0.00, ,0.00, ,3, ,0.7, ,3.5, ,84, ,1.0, ,0.4, ,262, ,,S
226,Woodland,Sacramento Valley,4/3/2025,0700,093,0.02, ,0.00, ,91, ,0.7, ,4.7, ,85, ,2.5, ,0.9, ,334, ,,M
226,Woodland,Sacramento Valley,4/3/2025,0800,093,0.11, ,0.00, ,257, ,1.0, ,8.7, ,85, ,6.4, ,1.7, ,333, ,,M
226,Woodland,Sacramento Valley,4/3/2025,0900,093,0.22, ,0.00, ,442, ,1.1, ,11.3, ,84, ,8.7, ,2.6, ,343, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1000,093,0.33, ,0.00, ,610, ,1.2, ,12.6, ,79, ,9.1, ,2.9, ,336, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1100,093,0.44, ,0.00, ,742, ,1.2, ,14.4, ,71, ,9.2, ,3.2, ,341, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1200,093,0.52, ,0.00, ,820, ,1.1, ,16.1, ,60, ,8.2, ,3.1, ,331, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1300,093,0.56, ,0.00, ,838, ,1.0, ,17.5, ,50, ,6.9, ,3.1, ,334, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1400,093,0.55, ,0.00, ,789, ,0.9, ,18.7, ,42, ,5.4, ,3.2, ,334, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1500,093,0.50, ,0.00, ,684, ,0.8, ,19.6, ,35, ,3.9, ,3.2, ,348, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1600,093,0.39, ,0.00, ,532, ,0.7, ,19.9, ,31, ,2.2, ,2.7, ,332, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1700,093,0.26, ,0.00, ,339, ,0.6, ,19.8, ,24, ,-1.3, ,2.5, ,321, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1800,093,0.13, ,0.00, ,141, ,0.5, ,19.2, ,22, ,-3.0, ,1.9, ,330, ,,M
226,Woodland,Sacramento Valley,4/3/2025,1900,093,0.05, ,0.00, ,13, ,0.5, ,16.5, ,28, ,-2.1, ,0.9, ,302, ,,M
226,Woodland,Sacramento Valley,4/3/2025,2000,093,0.02, ,0.00, ,0, ,0.6, ,12.9, ,40, ,-0.2, ,0.7, ,233, ,,M
226,Woodland,Sacramento Valley,4/3/2025,2100,093,0.02, ,0.00, ,0, ,0.7, ,12.3, ,48, ,1.7, ,0.8, ,247, ,,M
226,Woodland,Sacramento Valley,4/3/2025,2200,093,0.01, ,0.00, ,0, ,0.7, ,11.7, ,53, ,2.6, ,1.0, ,279, ,,M
226,Woodland,Sacramento Valley,4/3/2025,2300,093,0.01, ,0.00, ,0, ,0.7, ,10.6, ,56, ,2.3, ,1.2, ,238, ,,M
226,Woodland,Sacramento Valley,4/3/2025,2400,093,0.02, ,0.00, ,0, ,0.8, ,10.6, ,59, ,3.0, ,2.0, ,279, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0100,094,0.01, ,0.00, ,0, ,0.7, ,9.7, ,61, ,2.6, ,1.4, ,301, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0200,094,0.00, ,0.00, ,0, ,0.7, ,7.9, ,63, ,1.4, ,1.5, ,351, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0300,094,0.00, ,0.00, ,0, ,0.7, ,8.0, ,66, ,2.0, ,1.7, ,332, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0400,094,0.00, ,0.00, ,0, ,0.7, ,7.8, ,68, ,2.3, ,1.8, ,323, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0500,094,0.00, ,0.00, ,0, ,0.7, ,7.9, ,68, ,2.5, ,1.6, ,340, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0600,094,0.00, ,0.00, ,3, ,0.7, ,8.1, ,68, ,2.6, ,1.9, ,338, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0700,094,0.04, ,0.00, ,84, ,0.8, ,9.6, ,67, ,3.8, ,2.6, ,332, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0800,094,0.16, ,0.00, ,259, ,0.9, ,12.4, ,63, ,5.5, ,3.5, ,342, ,,M
226,Woodland,Sacramento Valley,4/4/2025,0900,094,0.29, ,0.00, ,452, ,0.9, ,14.8, ,56, ,6.0, ,3.5, ,337, ,,M
226,Woodland,Sacramento Valley,4/4/2025,1000,094,0.43, ,0.00, ,623, ,0.9, ,16.8, ,49, ,5.9, ,3.8, ,334, ,,M
226,Woodland,Sacramento Valley,4/4/2025,1100,094,0.56, ,0.00, ,760, ,0.9, ,18.8, ,41, ,5.4, ,4.2, ,341, ,,M
226,Woodland,Sacramento Valley,4/4/2025,1200,094,0.63, ,0.00, ,837, ,0.8, ,20.3, ,36, ,4.6, ,4.0, ,342, ,,M
